RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394982,22,"Pittsburgh, PA",Msa,PA,8147.9643,8178.5216,8154.2963,8128.4169,8692.253,9131.9216,10631.1591,9704.0169,9656.4888,9260.9011,8945.4203,8639.8084,8771.8964,7854.9023,7973.8919,8413.6409,9303.5872,9372.4887,9605.128,9554.3727,9895.9672,9889.6399,9429.0294,9436.2596,8876.1041,8351.8144,8019.8875,8986.8246,10996.6203,12749.0981,9703.2516,11275.052,10730.3087,10873.0633,10951.119,10057.4052,11032.9041,9280.4675,8717.9631,10287.0783,10649.3667,14423.3159,15349.2905,14069.3042,15004.2334,12952.901
394998,23,"Portland, OR",Msa,OR,13436.6017,12734.2644,12897.5465,14595.1692,14943.7601,15447.9178,15577.7866,15317.8628,14811.7021,14953.1852,13967.7799,14199.3378,13911.0924,13112.9954,12381.9712,13294.5512,12990.4747,14484.2822,14736.8337,14658.4885,14138.4631,13610.4495,12407.6262,13558.7123,12642.2154,12110.132,10910.0927,14647.5036,16313.0435,17543.5958,13754.0666,14459.697,15978.5656,17650.3369,17889.4649,18777.3145,18653.5186,18599.8164,19908.3577,21876.1987,21582.8462,25191.0405,25606.9942,29970.1115,26959.3093,23754.4744
394458,24,"Charlotte, NC",Msa,NC,10975.0333,9753.918,9397.2565,10100.5025,11601.7368,11806.878,11541.8084,11959.1782,11324.6511,10392.9924,9837.2776,10007.2908,10194.286,8162.9549,6967.8515,8061.2064,9387.0716,9626.0929,10362.3216,10328.9367,9920.3357,8678.4221,8334.894,8384.1612,8234.3705,7556.5578,7773.0865,7890.7159,10476.4711,9855.9312,7936.1482,10034.2099,11480.361,11672.2006,12480.3686,12772.1286,11439.0695,11208.2956,11285.3465,12390.1145,15034.0339,17093.1563,20004.5449,20040.1255,20283.2377,15452.5824
395045,25,"Sacramento, CA",Msa,CA,13955.9468,12703.5996,12709.1224,14482.4401,14922.8119,14717.8987,14099.8944,14740.3099,14538.4033,14409.1806,14234.1903,14138.8209,13283.4111,13193.9647,14150.0448,12146.1512,12137.213,13626.9667,14060.8767,14063.3878,15195.0315,15421.7146,15183.1019,14701.7188,13424.264,12482.747,13985.5284,14169.6956,17385.8362,17060.9077,14569.2049,14076.8799,14446.7678,17522.5399,17196.2311,21112.4451,23273.3091,22198.8287,21731.4791,24121.5039,25971.3243,24964.4492,33757.352,39524.7664,38209.508,30857.4169
395055,26,"San Antonio, TX",Msa,TX,8459.582,8289.6585,7388.8608,8075.0322,8315.338,8496.816,9257.8071,8131.7882,8263.3923,8648.117,7994.6716,7869.3103,7052.4064,6845.9006,6596.0955,6888.7641,6809.5237,7996.3877,7855.016,8356.9837,8278.5449,7960.3375,7457.8276,7404.1387,6962.3876,6892.0235,6696.3367,7706.1157,8505.1452,8367.896,7594.9551,7679.5932,8294.802,8325.3835,8284.1722,8154.0996,8823.9479,9444.9413,8062.7966,7918.2496,9443.5763,9660.1117,13856.3226,14927.5212,12572.4115,13688.8097
394943,27,"Orlando, FL",Msa,FL,9805.2958,9519.2659,9391.0341,9665.3708,10290.0697,10911.336,11131.71,10538.8028,10597.5208,10070.7026,8774.6223,9118.4379,9334.2005,8385.6426,8689.722,9023.755,9360.0832,9059.6251,9851.2887,9605.37,9598.0439,9043.2721,9729.064,9624.088,8857.7359,8115.933,8425.0884,8720.9464,10185.5532,10552.8219,8799.8322,8883.8975,9310.4573,9450.9661,9700.478,9988.8254,9281.4991,10534.7509,10180.0075,10479.3869,12213.0839,12428.0709,16445.5896,18301.1724,15883.4904,14683.3356
394466,28,"Cincinnati, OH",Msa,OH,9003.5878,8275.4363,8086.8527,8365.1064,9293.1665,9762.3931,10262.7964,10678.9296,10634.8549,10019.4177,9484.5785,9064.6043,9206.6417,8263.2674,7643.0764,8206.2217,8923.662,10640.743,10860.9001,10689.8052,10941.245,10608.1546,10060.2172,9314.6328,9431.3937,8978.512,8781.3277,8749.6102,11231.4584,10922.9342,9542.1654,10408.0587,10651.7617,12274.2492,11130.2868,12556.1926,11825.2093,10453.8778,9726.5417,10653.4963,10850.1303,13339.4745,16001.1527,16663.7957,16342.4654,14638.4089
394475,29,"Cleveland, OH",Msa,OH,8668.7009,8420.7457,8384.6036,9164.2579,8880.9478,9339.7837,9638.0929,10155.8063,9915.8136,10205.2015,9244.671,8746.1952,8720.2935,8212.1136,7969.0948,9782.4906,9668.0171,10062.4355,10534.1009,10148.0259,10355.874,9641.2691,9351.0088,8995.986,8739.1005,8216.5226,8099.9961,9315.2339,10013.9099,9429.4222,9523.64,10623.8,11141.2128,10829.456,10399.3723,10312.2286,10053.6329,9163.8595,8933.9722,9847.7356,11285.3149,12370.9744,14381.1948,15150.0658,13163.7221,13089.0722
394735,30,"Kansas City, MO",Msa,MO,9431.8908,8030.0019,8515.0771,9472.7704,8887.0573,9762.7832,10387.2743,10737.6544,10998.8615,9852.0275,9193.4511,9323.5871,8842.6525,8155.3973,8542.7239,9217.6436,9500.7877,9611.6585,9871.9749,10653.1832,10076.395,9753.5586,9292.4542,9525.8494,8833.5683,8942.7967,8501.7544,8901.3842,10141.4109,10502.1174,8726.723,10048.3909,11386.1912,11553.4243,12014.8431,11364.1549,10992.9375,10171.1625,10397.2099,13103.6597,13524.6847,18501.7041,19307.892,17375.9832,17371.8188,15278.3252
394775,31,"Las Vegas, NV",Msa,NV,8965.4051,8253.1565,9047.5652,10029.9051,10295.9351,10042.0288,10287.2025,10504.918,9788.8078,9040.0004,8848.6181,8071.2053,7507.8593,5916.8489,6187.802,5878.9649,6047.9459,6586.1823,6808.5684,6746.8212,7140.4305,7180.6234,6982.5875,6876.7103,7437.3719,7324.5916,6022.1294,6733.5172,10528.9642,10490.0827,7675.2596,6968.7923,7762.9812,9278.4652,8157.7148,9351.8751,8859.7696,9458.9122,9248.1191,9315.3073,11473.9476,15646.9048,15602.3914,19763.3281,18750.5485,16999.9679
